Ville,Lien,Jean-Luc Mélenchon,Emmanuel Macron,Marine Le Pen,Éric Zemmour,Valérie Pécresse,Yannick Jadot,Fabien Roussel,Jean Lassalle,Nicolas Dupont-Aignan,Anne Hidalgo,Philippe Poutou,Nathalie Arthaud,Taux de participation,Taux d'abstention,Votes blancs (en pourcentage des votes exprimés),Votes nuls (en pourcentage des votes exprimés),Nombre de votants
courpalay,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-courpalay/ville-77135,16.14,19.18,38.49,9.52,4.76,2.38,2.25,1.59,2.91,0.79,0.93,1.06,72.99,27.01,1.55,0.65,773.0
thoury-ferottes,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-thoury-ferottes/ville-77465,18.62,19.39,35.20,9.18,5.36,4.08,0.77,2.55,3.32,0.51,0.26,0.77,83.75,16.25,1.99,0.5,402.0
nanteau-sur-lunain,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-nanteau-sur-lunain/ville-77329,12.83,24.34,32.89,8.55,2.96,2.30,2.63,3.95,5.26,1.97,0.66,1.64,79.24,20.76,1.92,0.96,313.0
guerard,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-guerard/ville-77219,16.56,27.79,28.29,8.88,4.98,4.34,1.78,2.70,2.35,1.00,0.92,0.43,83.12,16.88,1.46,0.7,1 438
coulommiers,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-coulommiers/ville-77131,23.39,25.38,27.70,6.25,5.32,3.31,1.84,1.99,1.96,1.17,0.99,0.70,67.99,32.01,1.34,0.96,6 275
fontainebleau,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-fontainebleau/ville-77186,17.91,33.80,12.50,12.15,9.72,6.77,1.45,1.78,1.85,1.14,0.62,0.31,79.47,20.53,1.31,0.4,7 585
saint-mammes,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-saint-mammes/ville-77419,26.18,22.34,28.38,5.28,4.12,3.71,2.32,2.26,2.55,1.28,0.93,0.64,74.63,25.37,1.25,0.63,1 756
villuis,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-villuis/ville-77523,,,,,,,,,,,,,,,,,
villenauxe-la-petite,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-villenauxe-la-petite/ville-77507,,,,,,,,,,,,,,,,,
champagne-sur-seine,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-champagne-sur-seine/ville-77079,,,,,,,,,,,,,,,,,
fublaines,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-fublaines/ville-77199,23.85,22.81,29.93,7.11,5.19,3.56,1.19,1.63,2.81,0.74,0.59,0.59,75.57,24.43,2.73,0.29,696.0
evry-gregy-sur-yerre,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-evry-gregy-sur-yerre/ville-77175,17.78,28.17,25.81,7.27,6.67,4.90,2.07,2.42,2.78,1.18,0.59,0.35,79.45,20.55,1.85,0.4,1 732
mons-en-montois,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-mons-en-montois/ville-77298,,,,,,,,,,,,,,,,,
conches-sur-gondoire,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-conches-sur-gondoire/ville-77124,,,,,,,,,,,,,,,,,
varreddes,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-varreddes/ville-77483,,,,,,,,,,,,,,,,,
moissy-cramayel,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-moissy-cramayel/ville-77296,,,,,,,,,,,,,,,,,
pierre-levee,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-pierre-levee/ville-77361,,,,,,,,,,,,,,,,,
chenou,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-chenou/ville-77110,,,,,,,,,,,,,,,,,
la-houssaye-en-brie,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-la-houssaye-en-brie/ville-77229,,,,,,,,,,,,,,,,,
rubelles,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-rubelles/ville-77394,,,,,,,,,,,,,,,,,
montereau-sur-le-jard,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-montereau-sur-le-jard/ville-77306,,,,,,,,,,,,,,,,,
montry,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-montry/ville-77315,,,,,,,,,,,,,,,,,
saint-martin-des-champs,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-saint-martin-des-champs/ville-77423,,,,,,,,,,,,,,,,,
gouvernes,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-gouvernes/ville-77209,,,,,,,,,,,,,,,,,
gironville,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-gironville/ville-77207,,,,,,,,,,,,,,,,,
,,,,,,,,,,
dammartin-en-goele,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-dammartin-en-goele/ville-77153,,,,,,,,,,,,,,,,,
couilly-pont-aux-dames,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-couilly-pont-aux-dames/ville-77128,,,,,,,,,,,,,,,,,
conde-sainte-libiaire,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-conde-sainte-libiaire/ville-77125,,,,,,,,,,,,,,,,,
saint-remy-la-vanne,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-saint-remy-la-vanne/ville-77432,,,,,,,,,,,,,,,,,
aubepierre-ozouer-le-repos,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-aubepierre-ozouer-le-repos/ville-77010,,,,,,,,,,,,,,,,,
bourron-marlotte,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-bourron-marlotte/ville-77048,,,,,,,,,,,,,,,,,
sainte-colombe,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-sainte-colombe/ville-77404,,,,,,,,,,,,,,,,,
marolles-en-brie,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-marolles-en-brie/ville-77278,,,,,,,,,,,,,,,,,
vulaines-sur-seine,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-vulaines-sur-seine/ville-77533,17.58,33.01,19.18,8.54,7.50,5.04,2.15,2.34,2.52,1.72,0.18,0.25,79.65,20.35,1.45,0.3,1 656
saint-sauveur-les-bray,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-saint-sauveur-les-bray/ville-77434,10.92,21.40,38.43,11.79,10.04,0.87,0.00,2.18,3.06,0.87,0.00,0.44,80.48,19.52,1.7,0.85,235.0
vaucourtois,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-vaucourtois/ville-77484,15.58,28.57,35.71,4.55,3.90,3.25,0.65,3.90,1.95,0.00,0.65,1.30,81.87,18.13,1.9,0.63,158.0
choisy-en-brie,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-choisy-en-brie/ville-77116,12.98,23.07,38.67,6.91,6.91,2.49,1.10,2.49,3.18,0.55,1.24,0.41,78.66,21.34,1.35,0.94,741.0
le-plessis-feu-aussoux,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-le-plessis-feu-aussoux/ville-77365,15.12,21.91,32.41,9.26,10.19,3.09,2.16,2.16,2.47,0.93,0.31,0.00,80.73,19.27,1.21,0.91,331.0
doue,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-doue/ville-77162,16.46,24.44,32.06,7.80,7.80,3.64,1.39,1.73,2.25,1.04,0.69,0.69,78.78,21.22,0.34,0.69,583.0
presles-en-brie,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-presles-en-brie/ville-77377,17.27,26.32,27.63,7.65,6.09,4.85,1.89,3.04,2.47,1.07,0.82,0.90,78.84,21.16,2.4,0.48,1 252
montenils,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-montenils/ville-77304,10.71,17.86,39.29,21.43,10.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.78,22.22,0.0,0.0,28.0
jouy-le-chatel,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-jouy-le-chatel/ville-77239,15.60,19.51,38.75,7.02,8.71,1.30,1.17,2.86,2.60,0.65,1.04,0.78,79.94,20.06,1.02,0.51,781.0
chevry-cossigny,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-chevry-cossigny/ville-77114,17.44,28.26,27.44,8.08,4.93,6.44,2.01,1.83,2.01,0.73,0.64,0.18,77.94,22.06,2.18,0.49,2 250
passy-sur-seine,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-passy-sur-seine/ville-77356,7.32,9.76,29.27,14.63,24.39,4.88,2.44,4.88,0.00,0.00,0.00,2.44,81.48,18.52,0.0,6.82,44.0
saint-cyr-sur-morin,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-saint-cyr-sur-morin/ville-77405,18.86,19.13,29.51,11.01,5.51,4.96,2.53,2.89,3.07,0.54,1.35,0.63,79.17,20.83,1.51,0.35,1 129
flagy,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-flagy/ville-77184,19.70,22.73,25.51,8.59,6.06,6.57,1.77,3.54,3.03,1.26,0.76,0.51,79.73,20.27,3.18,0.0,409.0
cregy-les-meaux,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-cregy-les-meaux/ville-77143,29.56,24.44,24.00,6.50,4.34,3.04,1.58,2.05,1.89,1.26,0.67,0.67,76.72,23.28,2.37,0.54,2 613
combs-la-ville,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-combs-la-ville/ville-77122,30.73,25.37,19.17,5.67,5.22,4.20,2.29,2.17,2.87,1.15,0.72,0.45,72.98,27.02,1.27,0.4,10 499
sammeron,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-sammeron/ville-77440,18.03,23.68,34.43,6.56,5.28,3.46,2.00,2.19,0.73,0.73,1.64,1.28,75.83,24.17,2.64,0.7,568.0
tancrou,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-tancrou/ville-77460,15.74,13.20,34.01,19.80,3.55,3.55,1.52,4.06,1.52,1.02,2.03,0.00,76.63,23.37,1.0,0.5,200.0
melun,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-melun/ville-77288/,38.04,23.12,16.40,6.43,4.48,3.76,1.45,1.72,1.81,1.40,0.71,0.67,65.88,34.12,1.33,0.55,12 432
barbizon,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-barbizon/ville-77022,12.01,35.04,13.91,18.42,10.21,4.50,1.20,1.20,2.00,0.70,0.40,0.40,80.62,19.38,0.89,0.3,1 011
egreville,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-egreville/ville-77168,17.29,21.29,32.38,10.52,5.71,3.02,1.88,3.02,2.94,0.82,0.65,0.49,77.36,22.64,1.91,0.32,1 254
gesvres-le-chapitre,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-gesvres-le-chapitre/ville-77205,5.94,20.79,41.58,4.95,10.89,6.93,0.99,2.97,4.95,0.00,0.00,0.00,87.39,12.61,2.88,0.0,104.0
lagny-sur-marne,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-lagny-sur-marne/ville-77243,27.30,29.10,16.19,7.06,6.11,5.87,1.83,2.21,1.84,1.52,0.60,0.39,76.87,23.13,1.36,0.49,10 160
marchemoret,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-marchemoret/ville-77273,18.24,17.30,38.36,11.01,3.77,2.20,1.89,2.83,2.83,1.26,0.31,0.00,79.31,20.69,0.93,0.31,322.0
fleury-en-biere,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-fleury-en-biere/ville-77185,9.64,30.71,22.84,14.21,8.12,5.84,0.76,3.55,3.30,0.76,0.25,0.00,80.97,19.03,1.0,0.5,400.0
seine-port,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-seine-port/ville-77447,15.22,32.02,17.39,11.20,8.19,6.35,2.42,2.26,2.42,1.84,0.33,0.33,81.68,18.32,1.48,0.25,1 217
montigny-lencoup,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-montigny-lencoup/ville-77311,19.58,19.97,28.84,9.52,7.14,3.31,2.51,1.85,3.84,0.79,1.85,0.79,79.22,20.78,1.68,0.65,774.0
saint-mesmes,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-saint-mesmes/ville-77427,12.89,22.41,38.66,9.80,7.56,1.40,3.08,1.68,0.84,0.28,0.56,0.84,83.76,16.24,1.11,0.0,361.0
courtomer,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-courtomer/ville-77138,23.24,14.98,29.05,9.79,4.89,5.50,2.45,1.83,4.89,0.31,2.45,0.61,79.86,20.14,2.08,0.89,337.0
avon,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-avon/ville-77014,26.71,27.02,16.09,7.32,7.64,6.30,1.72,2.17,2.42,1.69,0.56,0.35,74.59,25.41,1.39,0.52,6 392
villeparisis,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-villeparisis/ville-77514,37.91,20.45,21.05,6.36,3.32,2.94,2.45,1.60,1.62,1.17,0.66,0.47,71.85,28.15,1.42,0.47,10 129
chelles,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-chelles/ville-77108/,35.19,25.03,17.12,6.08,5.03,3.87,1.83,1.80,1.61,1.37,0.61,0.47,72.2,27.8,1.48,0.68,23 844
rampillon,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-rampillon/ville-77383,16.63,21.78,33.72,6.56,10.54,2.11,1.64,1.64,2.58,1.41,1.17,0.23,78.77,21.23,0.92,0.69,434.0
fretoy,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-fretoy/ville-77197,15.63,19.79,35.42,9.38,6.25,3.13,0.00,5.21,1.04,2.08,2.08,0.00,85.96,14.04,2.04,0.0,98.0
dampmart,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-dampmart/ville-77155,22.42,26.88,23.04,6.89,5.59,5.87,1.64,2.43,3.56,0.79,0.45,0.45,76.64,23.36,1.39,0.11,1 798
fay-les-nemours,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-fay-les-nemours/ville-77178,,,,,,,,,,,,,,,,,
remauville,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-remauville/ville-77387,,,,,,,,,,,,,,,,,
forges,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-forges/ville-77194,,,,,,,,,,,,,,,,,
boissettes,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-boissettes/ville-77038,,,,,,,,,,,,,,,,,
rumont,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-rumont/ville-77395,,,,,,,,,,,,,,,,,
thorigny-sur-marne,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-thorigny-sur-marne/ville-77464,,,,,,,,,,,,,,,,,
sivry-courtry,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-sivry-courtry/ville-77453,,,,,,,,,,,,,,,,,
chanteloup-en-brie,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-chanteloup-en-brie/ville-77085,,,,,,,,,,,,,,,,,
mauperthuis,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-mauperthuis/ville-77281,,,,,,,,,,,,,,,,,
pontcarre,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-pontcarre/ville-77374,,,,,,,,,,,,,,,,,
bernay-vilbert,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-bernay-vilbert/ville-77031,,,,,,,,,,,,,,,,,
